target_name,s_ra,s_dec,dataset,MJD-OBS,em,coord_block,temp_block,cluster
A2744_NIRSpec_v4_MSA2_obs5,3.5040075,-30.345330555555563,JWST,60494.09876011389,2950.0,"(35, -304)",8642,0
BOTTOM-CLOUD-EDGE-H2O-FILTER-C,166.20284666666666,-77.40710833333333,JWST,60543.68655965712,3221.5000000000005,"(1662, -775)",8649,0
UNKNOWN,214.5759052949705,52.279692922185454,JWST,60324.60823226592,1500.0,"(2145, 522)",8617,0
final_merged_23june2023,53.14988083333333,-27.79999166666664,JWST,60163.83181407801,2850.0,"(531, -278)",8594,0
UNKNOWN,189.1253047172896,62.34762914597146,JWST,60729.9451814518,4433.0,"(1891, 623)",8675,0
SDSSJ0927+0710,141.9375983333333,7.182555555555556,JWST,60435.32776943056,2771.5,"(1419, 71)",8633,0
SOUTH-NRCA3-05594593-6548425,89.941405,-65.81181388888888,JWST,59728.55885197916,2096.5,"(899, -659)",8532,0
EGSbubbles_aptcat_v7,214.90397833333333,52.87241111111111,JWST,60388.159211213424,2905.0,"(2149, 528)",8626,0
IRAS20126,303.6084583333333,41.22571388888889,JWST,59800.65525642853,3985.0,"(3036, 412)",8542,0
UNKNOWN,184.0869918319544,13.128746866115842,JWST,60666.84725409068,1950.0,"(1840, 131)",8666,0
HD-163296,269.0886640679988,-21.956334622096183,JWST,60213.48057789306,16250.0,"(2690, -220)",8601,0
SMACS-J0723.3-7327,110.82740958333332,-73.45473611111112,JWST,59744.20625352408,7700.0,"(1108, -735)",8534,0
P2021,214.81039916666668,52.794177777777776,JWST,60123.15288009653,2950.0,"(2148, 527)",8589,0
CEERS-NIRSPEC-P9-PRISM-MSATA,215.00905541666668,52.92236111111111,JWST,59938.026441015456,2771.5,"(2150, 529)",8562,0
UNKNOWN,188.192246323201,9.374935128285776,JWST,60481.64269620874,1950.0,"(1881, 93)",8640,0
uncover_nirspec_repeat,3.575942083333333,-30.38002222222224,JWST,60522.07151603108,1147.5,"(35, -304)",8646,0
UNKNOWN,342.07559002468963,-44.55529124159173,JWST,60573.8763070974,1950.0,"(3420, -446)",8653,0
UNKNOWN,184.2852215859314,2.743942259186886,JWST,60116.77694589624,1950.0,"(1842, 27)",8588,0
HD-189733,300.18211433650936,22.70923214468675,JWST,60058.13443467453,16250.0,"(3001, 227)",8579,0
UNKNOWN,13.73215553154087,-37.654500235205866,JWST,60633.00897543507,900.0,"(137, -377)",8661,0
